surah,ayah,word_idx,reciter,frac_of_ayah,median_frac,z
81,15,0,Minshawy_Murattal_128kbps,0.04144,0.30220,5.08
113,2,0,Alafasy_128kbps,0.42333,0.30785,5.06
80,34,4,Minshawy_Murattal_128kbps,0.19955,0.31928,5.06
112,1,2,Hani_Rifai_192kbps,0.13095,0.38048,5.06
80,33,0,Abu_Bakr_Ash-Shaatree_128kbps,0.20047,0.14489,5.04
89,23,6,Saood_ash-Shuraym_128kbps,0.05301,0.10325,5.03
112,1,0,Abdul_Basit_Murattal_64kbps,0.08537,0.13603,5.02
89,23,6,Hani_Rifai_192kbps,0.15323,0.10325,5.01
86,13,2,Minshawy_Murattal_128kbps,0.29474,0.16326,5.00
89,13,4,Alafasy_128kbps,0.44631,0.27061,4.95
84,15,0,Minshawy_Murattal_128kbps,0.03957,0.21992,4.94
82,17,3,Minshawy_Murattal_128kbps,0.20903,0.13373,4.94
79,46,4,Saood_ash-Shuraym_128kbps,0.12624,0.19886,4.93
78,30,1,Husary_64kbps,0.07821,0.21279,4.92
78,23,0,Hani_Rifai_192kbps,0.41425,0.28880,4.91
89,12,0,Alafasy_128kbps,0.48333,0.35434,4.91
81,19,0,Husary_64kbps,0.16053,0.29398,4.90
87,10,1,Alafasy_128kbps,0.37825,0.27759,4.89
82,8,3,Minshawy_Murattal_128kbps,0.17014,0.05509,4.88
79,27,3,Saood_ash-Shuraym_128kbps,0.09145,0.05265,4.88
85,13,2,Alafasy_128kbps,0.12408,0.20681,4.85
89,16,2,Alafasy_128kbps,0.01087,0.01735,4.84
92,18,0,Hani_Rifai_192kbps,0.08992,0.21070,4.82
97,2,1,Minshawy_Murattal_128kbps,0.51351,0.27643,4.82
93,8,2,Minshawy_Murattal_128kbps,0.39735,0.29285,4.81
88,14,1,Minshawy_Murattal_128kbps,0.58780,0.40245,4.81
80,22,2,Saood_ash-Shuraym_128kbps,0.47244,0.33377,4.79
81,27,1,Abdul_Basit_Murattal_64kbps,0.12528,0.09254,4.77
78,38,6,Abu_Bakr_Ash-Shaatree_128kbps,0.29286,0.13777,4.73
98,8,3,Minshawy_Murattal_128kbps,0.11157,0.06232,4.72
101,3,1,Alafasy_128kbps,0.67149,0.30004,4.70
83,6,1,Alafasy_128kbps,0.11126,0.17055,4.69
82,19,6,Saood_ash-Shuraym_128kbps,0.18401,0.11091,4.69
109,4,3,Mohammad_al_Tablaway_128kbps,0.18146,0.06268,4.67
84,7,1,Hani_Rifai_192kbps,0.13164,0.07844,4.67
106,4,0,Saood_ash-Shuraym_128kbps,0.10733,0.19725,4.66
80,16,0,Alafasy_128kbps,0.36697,0.65481,4.66
80,16,1,Alafasy_128kbps,0.63303,0.34519,4.66
97,4,8,Hani_Rifai_192kbps,0.06958,0.04714,4.66
81,24,0,Alafasy_128kbps,0.10217,0.15588,4.65
92,14,1,Mohammad_al_Tablaway_128kbps,0.10615,0.28145,4.64
87,17,2,Hani_Rifai_192kbps,0.46389,0.31378,4.64
82,8,2,Minshawy_Murattal_128kbps,0.12269,0.25628,4.63
83,6,0,Alafasy_128kbps,0.06649,0.10212,4.61
85,16,2,Alafasy_128kbps,0.60860,0.41624,4.61
114,1,2,Husary_64kbps,0.30631,0.22835,4.61
81,1,2,Hani_Rifai_192kbps,0.33542,0.50925,4.60
81,14,0,Saood_ash-Shuraym_128kbps,0.24621,0.18359,4.60
